【75V11】特別支援学校幼稚部教育要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,教育要領テキスト,教育要領コード
ねらい及び内容等,39,イ  感覚や認知の特性への対応に関すること。,75l2003420000000
ねらい及び内容等,40,ウ  感覚の補助及び代行手段の活用に関すること。,75l2003430000000
ねらい及び内容等,41,エ  感覚を総合的に活用した周囲の状況の把握に関すること。,75l2003440000000
ねらい及び内容等,42,オ  認知や行動の手掛かり となる概念の形成に関すること。,75l2003450000000
ねらい及び内容等,43,(5)   身体の動き,75l2003500000000
ねらい及び内容等,44,ア  姿勢と運動・動作の基本的技能に関すること。,75l2003510000000
ねらい及び内容等,45,イ   姿勢保持と運動・動作の補助的手段の活用に関すること。,75l2003520000000
ねらい及び内容等,46,ウ   日常生活に必要な基本動作に関すること。,75l2003530000000
ねらい及び内容等,47,エ  身体の移動能力に関すること。,75l2003540000000
ねらい及び内容等,48,オ  作業に必要な動作と円滑な遂行に関すること。,75l2003550000000
ねらい及び内容等,49,(6)   コミュニケーション,75l2003600000000
ねらい及び内容等,50,ア   コミュニケーションの基礎的能力に関すること。,75l2003610000000
ねらい及び内容等,51,イ   言語の受容と表出に関すること。,75l2003620000000
ねらい及び内容等,52,ウ  言語の形成と活用に関すること。,75l2003630000000
ねらい及び内容等,53,エ   コミュニケーション手段の選択と活用に関すること。,75l2003640000000
ねらい及び内容等,54,オ  状況に応じたコミュニケーションに関すること。,75l2003650000000
ねらい及び内容等,55,３   指導計画の作成と内容の取扱い,75l2006000000000
ねらい及び内容等,56,(1) 自立活動の指導に当たっては， 個々の幼児の障害の状態や発達の程度等の的確な把握に基づき，指導のねらい及び指導内容を明確にし，個別の指導計画を作成すること。その際，  ２に示す内容の中からそれぞれに必要とする項目を選定し， それらを相互に関連付け， 具体的に指導内容を設定すること。,75l2006100000000
ねらい及び内容等,57,(2) 個別の指導計画の作成に当たっては， 次の事項に配慮すること。,75l2006200000000
ねらい及び内容等,58,ア  個々の幼児について，障害の状態，発達や経験の程度，興味・関心，生活や学習環境などの実態を的確に把握すること。,75l2006210000000
ねらい及び内容等,59,イ   実態把握に基づき， 長期的及び短期的な観点から指導のねらいを設定し， それらを達成するために必要な指導内容を段階的に取り上げること。,75l2006220000000
ねらい及び内容等,60,ウ  具体的に指導内容を設定する際には， 以下の点を考慮すること。,75l2006230000000
ねらい及び内容等,61,(ｱ) 幼児が興味をもって主体的に取り組み， 成就感を味わうことができるような指導内容を取り上げること。,75l2006231000000
ねらい及び内容等,62,(ｲ) 個々の幼児の発達の進んでいる側面を更に伸ばすことによって， 遅れている側面を補うことができるような指導内容も取り上げること。,75l2006232000000
ねらい及び内容等,63,エ  幼児の活動の状況や結果を適切に評価し， 個別の指導計画や具体的な指導の改善に生かすよう努めること。,75l2006240000000
ねらい及び内容等,64,(3) 指導計画の作成に当たっては， 各領域におけるねらい及び内容と密接な関連を保つように指導内容の設定を工夫し，計画的，組織的に指導が行われるようにすること。,75l2006300000000
ねらい及び内容等,65,(4) 自立活動の時間を設けて指導する場合は， 専門的な知識や技能を有する教師を中心として，全教師の協力の下に効果的に行われるようにすること。,75l2006400000000
ねらい及び内容等,66,(5)幼児の障害の状態により，必要に応じて，専門の医師及びその他の専門家の指導・助言を求めるなどして， 適切な指導ができるようにすること。,75l2006500000000
指導計画の作成に当たっての留意事項,67,第３章　指導計画の作成に当たっての留意事項,75m0000000000000
指導計画の作成に当たっての留意事項,68,"幼稚部における教育は， 幼児が自ら意欲をもって環境とかかわることによりつく り出される具体的な活動を通して， その目標の達成を図るものである。
学校においてはこのことを踏まえ， 幼児期にふさわしい生活が展開され， 適切な指導が行われるよう，次の事項に留意して調和のとれた組織的，発展的な指導計画を作成し，幼児の活動に沿った柔軟な指導を行わなければならない。",75m0000100000000
指導計画の作成に当たっての留意事項,69,第１　一般的な留意事項,75m0000110000000
指導計画の作成に当たっての留意事項,70,１   指導計画は， 幼児の発達に即して一人一人の幼児が幼児期にふさわしい生活を展開し， 必要な体験を得られるようにするために， 具体的に作成すること。,75m0000111000000
指導計画の作成に当たっての留意事項,71,２   指導計画の作成に当たっては， 次に示すところにより， 具体的なねらい及び内容を明確に設定し， 適切な環境を構成することなどにより活動が選択・展開されるようにすること。,75m0000112000000
指導計画の作成に当たっての留意事項,72,(1) 具体的なねらい及び内容は， 幼稚部の生活における幼児の発達の過程を見通し， 幼児の生活の連続性，季節の変化などを考慮して，幼児の障害の状態，発達や経験の程度，興味や関心などに応じて設定すること。,75m0000112100000
指導計画の作成に当たっての留意事項,73,(2) 環境は， 具体的なねらいを達成するために適切なものとなるように構成し， 幼児が自らその環境にかかわることにより様々な活動を展開しつつ必要な体験を得られるようにすること。 その際， 幼児の生活する姿や発想を大切にし， 常にその環境が適切なものとなるようにすること。,75m0000112200000
指導計画の作成に当たっての留意事項,74,(3) 幼児の行う具体的な活動は， 生活の流れの中で様々に変化するものであることに留意し，幼児が望ましい方向に向かって自ら活動を展開していくことができるよう必要な援助をすること。,75m0000112300000
