【76V22】特別支援学校小学部・中学部学習指導要領（平成21年告示：平成27年一部改正）コード表　Ver 2.2,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,20,(3) 各学校においては， 第２章に示す各教科を選択教科として設けることができるほか， 地域や学校， 生徒の実態を考慮して， 特に必要がある場合には， その他特に必要な教科を選択教科として設けることができる。その他特に必要な教科の名称，  目標，内容などについては，各学校が適切に定めるものとする。,7600000225300000
総則,21,６  知的障害者である生徒に対する教育を行う特別支援学校の中学部においては，国語，社会，数学，理科，音楽，美術，保健体育及び職業・家庭の各教科，道徳科，総合的な学習の時間，特別活動並びに自立活動については，特に示す場合を除き，全ての生徒に履修させるものとする。また，外国語科については，学校や生徒の実態を考慮し，必要に応じて設けることができる。,7600000226000001
総則,22,７  知的障害者である児童又は生徒に対する教育を行う特別支援学校において，各教科の指導に当たっては，各教科（小学部においては各教科の各段階。以下この項において同じ。）に示す内容を基に，児童又は生徒の知的障害の状態や経験等に応じて，具体的に指導内容を設定するものとする。また，各教科，道徳科，特別活動及び自立活動の全部又は一部を合わせて指導を行う場合には，各教科，道徳科，特別活動及び自立活動に示す内容を基に，児童又は生徒の知的障害の状態や経験等に応じて，具体的に指導内容を設定するものとする。,7600000227000001
総則,23,８   知的障害者である生徒に対する教育を行う特別支援学校の中学部においては， 地域や学校，生徒の実態を考慮して， 特に必要がある場合には， その他特に必要な教科を選択教科として設けることができる。 その他特に必要な教科の名称，  目標， 内容などについては， 各学校が適切に定めるものとする。 その際， 第２章第２節第２款の第２に示す事項に配慮するとともに， 生徒の負担過重となることのないようにしなければならない。,7600000228000000
総則,24,９  道徳科を要として学校の教育活動全体を通じて行う道徳教育の内容は，小学部においては第３章において準ずるものとしている小学校学習指導要領第３章第２に示す内容，中学部においては第３章において準ずるものとしている中学校学習指導要領第３章第２に示す内容とする。,7600000229000001
総則,25,第３   授業時数等の取扱い,7600000230000000
総則,26,１  小学部又は中学部の各学年における第２章以下に示す各教科（知的障害者である生徒に対する教育を行う特別支援学校の中学部において，外国語科を設ける場合を含む。以下同じ。），道徳科，外国語活動，総合的な学習の時間，特別活動（学級活動（学校給食に係るものを除く。）に限る。以下この項，４及び６において同じ。）及び自立活動（以下「各教科等」という。）の総授業時数は，小学校又は中学校の各学年における総授業時数に準ずるものとする。この場合，各教科等の目標及び内容を考慮し，それぞれの年間の授業時数を適切に定めるものとする。,7600000231000001
総則,27,２   小学部又は中学部の各学年の総合的な学習の時間に充てる授業時数は， 児童又は生徒の障害の状態や発達の段階等を考慮して， 視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である児童又は生徒に対する教育を行う特別支援学校については， 小学部第３学年以上及び中学部において， 知的障害者である生徒に対する教育を行う特別支援学校については， 中学部において，それぞれ適切に定めるものとする。,7600000232000000
総則,28,３   小学部又は中学部の各学年の自立活動の時間に充てる授業時数は， 児童又は生徒の障害の状態に応じて， 適切に定めるものとする。,7600000233000000
総則,29,４   小学部又は中学部の各教科等の授業は，年間35週（小学部第１学年については34週）以上にわたって行うように計画し， 週当たりの授業時数が児童又は生徒の負担過重にならないようにするものとする。 ただし， 各教科等 （中学部においては， 特別活動を除く。） や学習活動の特質に応じ効果的な場合には， 夏季， 冬季， 学年末等の休業日の期間に授業日を設定する場合を含め，  これらの授業を特定の期間に行うことができる。なお，給食，休憩などの時間については， 学校において工夫を加え， 適切に定めるものとする。,7600000234000000
