【7BV11】特別支援学校高等部学習指導要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,16,"【摘要】教科等（科目：標準単位数）
国語（国語総合：４，国語表現：３，現代文Ａ：２，現代文Ｂ：４，古典Ａ：２，古典Ｂ：４）
地理歴史（世界史Ａ：２，世界史Ｂ：４，日本史Ａ：２，日本史Ｂ：４，地理Ａ：２，地理Ｂ：４）
公民（現代社会：２，倫理：２，政治・経済：２）
数学（数学Ⅰ：３，数学Ⅱ：４，数学Ⅲ：５,数学Ａ：２，数学Ｂ：２，数学活用：２）
理科（科学と人間生活：２，物理基礎：２，物理：４，化学基礎：２，化学：４，生物基礎：２，生物：４，地学基礎：２，地学：４，理科課題研究：１）
保健体育（体育：７～８，保健：２）
芸術（音楽Ⅰ：２，音楽Ⅱ：２，音楽Ⅲ：２，美術Ⅰ：２，美術Ⅱ：２，美術Ⅲ：２，工芸Ⅰ：２，工芸Ⅱ：２，工芸Ⅲ：２，書道Ⅰ：２，書道Ⅱ：２，書道Ⅲ：２）
外国語（コミュニケーション英語基礎：２，コミュニケーション英語Ⅰ：３，コミュニケーション英語Ⅱ：４，コミュニケーション英語Ⅲ：４，英語表現Ⅰ：２，英語表現Ⅱ：４，英語会話：２）
家庭（家庭基礎：２，家庭総合：４，生活デザイン：４）
情報（社会と情報：２，情報の科学：２）",7C00000221210000
総則,17,"３   主として専門学科において開設される各教科・科目
各学校においては， 教育課程の編成に当たって， 視覚障害者である生徒に対する教育を行う特別支援学校にあっては次の表の(1)及び(2)， 聴覚障害者である生徒に対する教育を行う特別支援学校にあっては次の表の(1)及び(3)， 肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校にあっては次の表の(1)に掲げる主として専門学科 （専門教育を主とする学科をいう。 以下同じ。） において開設される各教科・科目及び設置者の定めるそれぞれの標準単位数を踏まえ， 生徒に履修させる各教科・科目及びその単位数について適切に定めるものとする。",7C00000221300000
総則,18,(1)   視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校,7C00000221310000
総則,19,農業（農業と環境，課題研究，総合実習，農業情報処理，作物，野菜，果樹，草花，畜産，農業経営，農業機械，食品製造，食品化学，微生物利用，植物バイオテクノロジー，動物バイオテクノロジー，農業経済，食品流通，森林科学，森林経営，林産物利用，農業土木設計，農業土木施工，水循環，造園計画，造園技術，環境緑化材料，測量，生物活用， グリーンライフ）,7C00000221311000
総則,20,工業（工業技術基礎，課題研究，実習，製図，工業数理基礎，情報技術基礎，材料技術基礎，生産システム技術，工業技術英語，工業管理技術，環境工学基礎，機械工作，機械設計，原動機，電子機械，電子機械応用，  自動車工学，  自動車整備，電気基礎，電気機器，電力技術，電子技術，電子回路，電子計測制御，通信技術，電子情報技術，プログラミング技術，ハードウェア技術，  ソフトウェア技術，  コンピュータシステム技術，建築構造，建築構造設計，建築計画，建築施工，建築法規，設備計画，空気調和設備，衛生・防災設備，測量，土木基礎力学，土木構造設計，土木施工，社会基盤工学，工業化学，化学工学，地球環境化学，材料製造技術，工業材料，材料加工，セラミック化学，セラミック技術，セラミック工業，繊維製品，繊維・染色技術，染織デザイン，インテリア計画，インテリア装備，インテリアエレメント生産，デザイン技術，デザイン材料，デザイン史）,7C00000221312000
総則,21,商業（ビジネス基礎， 課題研究， 総合実践，  ビジネス実務， マーケティング， 商品開発， 広告と販売促進， ビジネス経済， ビジネス経済応用， 経済活動と法， 簿記， 財務会計Ⅰ，財務会計Ⅱ，原価計算，管理会計，情報処理，  ビジネス情報，電子商取引，プログラミング，  ビジネス情報管理）,7C00000221313000
総則,22,水産（水産海洋基礎，課題研究，総合実習，海洋情報技術，水産海洋科学，漁業，航海・計器，船舶運用，船用機関，機械設計工作，電気理論，移動体通信工学， 海洋通信技術，資源増殖，海洋生物，海洋環境，小型船舶，食品製造，食品管理，水産流通，ダイビング，マリンスポーツ）,7C00000221314000
総則,23,家庭（生活産業基礎， 課題研究， 生活産業情報， 消費生活， 子どもの発達と保育， 子ども文化，生活と福祉，リビングデザイン，服飾文化，ファッション造形基礎， ファッション造形， ファッションデザイン，服飾手芸， フードデザイン，食文化，調理，栄養，食品，食品衛生，公衆衛生）,7C00000221315000
総則,24,看護（基礎看護， 人体と看護， 疾病と看護， 生活と看護， 成人看護， 老年看護， 精神看護，在宅看護，母性看護，小児看護，看護の統合と実践，看護臨地実習，看護情報活用）,7C00000221316000
総則,25,情報（情報産業と社会， 課題研究， 情報の表現と管理， 情報と問題解決， 情報テクノロジー， アルゴリズムとプログラム， ネットワークシステム， データベース， 情報システム実習，情報メディア，情報デザイン，表現メディアの編集と表現，情報コンテンツ実習）,7C00000221317000
総則,26,福祉（社会福祉基礎， 介護福祉基礎，  コミュニケーション技術， 生活支援技術， 介護過程，介護総合演習，介護実習，  こころとからだの理解，福祉情報活用）,7C00000221318000
総則,27,理数（理数数学Ⅰ， 理数数学Ⅱ， 理数数学特論， 理数物理， 理数化学， 理数生物， 理数地学，課題研究）,7C00000221319000
総則,28,体育（スポーツ概論， スポーツⅠ， スポーツⅡ， スポーツⅢ， スポーツⅣ， スポーツⅤ，スポーツⅥ，スポーツ総合演習）,7C0000022131A000
総則,29,音楽（音楽理論，音楽史，演奏研究，  ソルフェージュ，声楽，器楽，作曲，鑑賞研究）,7C0000022131B000
総則,30,美術（美術概論，美術史，素描，構成，絵画，版画，彫刻，  ビジュアルデザイン， クラフトデザイン，情報メディアデザイン，映像表現，環境造形，鑑賞研究）,7C0000022131C000
総則,31,英語（総合英語，英語理解，英語表現，異文化理解，時事英語）,7C0000022131D000
総則,32,(2)   視覚障害者である生徒に対する教育を行う特別支援学校,7D00000221320000
総則,33,保健理療（医療と社会， 人体の構造と機能， 疾病の成り立ちと予防， 生活と疾病， 基礎保健理療，臨床保健理療，地域保健理療と保健理療経営，保健理療基礎実習，保健理療臨床実習，保健理療情報活用，課題研究）,7D00000221321000
総則,34,(3) 聴覚障害者である生徒に対する教育を行う特別支援学校,7E00000221330000
総則,35,印刷（印刷概論， 写真製版， 印刷機械・材料， 印刷デザイン， 写真化学・光学， 文書処理・管理，印刷情報技術基礎，画像技術，印刷総合実習，課題研究）,7E00000221331000
総則,36,理容・美容（理容・美容関係法規， 衛生管理， 理容・美容保健， 理容・美容の物理・化学， 理容・美容文化論，理容・美容技術理論，理容・美容運営管理，理容実習，美容実習，理容・美容情報活用，課題研究）,7E00000221332000
総則,37,クリーニング（クリーニング関係法規， 公衆衛生， クリーニング理論， 繊維， クリーニング機器・装置， クリーニング実習，課題研究）,7E00000221333000
総則,38,"４   学校設定科目
学校においては， 地域， 学校及び生徒の実態， 学科の特色等に応じ， 特色ある教育課程の編成に資するよう，上記２及び３の表に掲げる教科について，これらに属する科目以外の科目（以下「学校設定科目」 という。） を設けることができる。 この場合において， 学校設定科目の名称，  目標，内容，単位数等については，その科目の属する教科の目標に基づき，各学校の定めるところによるものとする。",7C00000221400000
総則,39,５   学校設定教科,7C00000221500000
総則,40,"(1)学校においては，地域，学校及び生徒の実態，学科の特色等に応じ，特色ある教育課程の編成に資するよう， 上記２及び３の表に掲げる教科以外の教科 （以下この項及び第５款第１の２において「学校設定教科」 という。）及び当該教科に関する科目を設けることができる。
この場合において， 学校設定教科及び当該教科に関する科目の名称，  目標， 内容， 単位数等については， 高等部における教育の目標及びその水準の維持等に十分配慮し， 各学校の定めるところによるものとする。",7C00000221510000
総則,41,(2)学校においては，学校設定教科に関する科目として「産業社会と人間」を設けることができる。 この科目の目標， 内容， 単位数等を各学校において定めるに当たっては， 産業社会における自己の在り方生き方について考えさせ， 社会に積極的に寄与し， 生涯にわたって学習に取り組む意欲や態度を養うとともに，生徒の主体的な各教科・科目の選択に資するよう，就業体験等の体験的な学習や調査・研究などを通して， 次のような事項について指導することに配慮するものとする。,7C00000221520000
総則,42,ア  社会生活や職業生活に必要な基本的な能力や態度及び望ましい勤労観， 職業観の育成,7C00000221521000
総則,43,イ   我が国の産業の発展とそれがもたらした社会の変化についての考察,7C00000221522000
