学校コード,学校種,都道府県番号,設置区分,本分校,学校名,学校所在地,郵便番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
C109210001419,C1(中学校),09(栃木),2(公),1(本),那須塩原市立高林中学校,栃木県那須塩原市箭坪３５３,3250108,2020-12-22 00:00:00,,094054,
C109210001428,C1(中学校),09(栃木),2(公),1(本),那須塩原市立日新中学校,栃木県那須塩原市鍋掛１０８７,3250013,2020-12-22 00:00:00,,094055,
C109210001437,C1(中学校),09(栃木),2(公),1(本),那須塩原市立厚崎中学校,栃木県那須塩原市上厚崎３８５,3250026,2020-12-22 00:00:00,,094056,
C109210001446,C1(中学校),09(栃木),2(公),1(本),那須塩原市立黒磯北中学校,栃木県那須塩原市埼玉６,3250033,2020-12-22 00:00:00,,094057,
C109210001455,C1(中学校),09(栃木),2(公),1(本),那須塩原市立三島中学校,栃木県那須塩原市東三島１－１０４,3292751,2020-12-22 00:00:00,,094061,
C109210001464,C1(中学校),09(栃木),2(公),1(本),那須塩原市立西那須野中学校,栃木県那須塩原市下永田４－３,3292712,2020-12-22 00:00:00,,094062,
C109210001473,C1(中学校),09(栃木),2(公),1(本),佐野市立田沼東中学校,栃木県佐野市栃本町２２８７,3270312,2020-12-22 00:00:00,,094071,
C109210001482,C1(中学校),09(栃木),2(公),1(本),佐野市立葛生中学校,栃木県佐野市葛生西三丁目４番１号,3270507,2020-12-22 00:00:00,,094091,
C109210001491,C1(中学校),09(栃木),2(公),1(本),佐野市立常盤中学校,栃木県佐野市豊代町２１６７,3270512,2020-12-22 00:00:00,,094092,
C109210001507,C1(中学校),09(栃木),2(公),1(本),那須烏山市立南那須中学校,栃木県那須烏山市大金２８５番地,3210522,2020-12-22 00:00:00,,094093,
C109210001516,C1(中学校),09(栃木),2(公),1(本),那須町立那須中学校,栃木県那須郡那須町高久丙１番地１,3250302,2020-12-22 00:00:00,,094094,
C109210001525,C1(中学校),09(栃木),2(公),1(本),栃木県立宇都宮東高等学校附属中学校,栃木県宇都宮市石井町３３６０－１,3210912,2020-12-22 00:00:00,,094511,
C109210001534,C1(中学校),09(栃木),2(公),1(本),栃木県立佐野高等学校附属中学校,栃木県佐野市天神町７６１－１,3270847,2020-12-22 00:00:00,,094512,
C109210001543,C1(中学校),09(栃木),2(公),1(本),栃木県立矢板東高等学校附属中学校,栃木県矢板市東町４－８,3292136,2020-12-22 00:00:00,,094513,
C109210001552,C1(中学校),09(栃木),2(公),1(本),那須町立那須中央中学校,栃木県那須郡那須町大字寺子丙９２番地,3293222,2020-12-22 00:00:00,,094514,
C109210001561,C1(中学校),09(栃木),2(公),1(本),栃木市立藤岡中学校,栃木県栃木市藤岡町藤岡１０番地,3231104,2022-05-01 00:00:00,,,
C109310000016,C1(中学校),09(栃木),3(私),1(本),作新学院中等部,栃木県宇都宮市一の沢１－１－４１,3208525,2020-12-22 00:00:00,,094121,
C109310000025,C1(中学校),09(栃木),3(私),1(本),白鴎大学足利中学校,栃木県足利市伊勢南町４－３,3260054,2020-12-22 00:00:00,,094122,
C109310000034,C1(中学校),09(栃木),3(私),1(本),宇都宮海星女子学院中学校,栃木県宇都宮市上籠谷町３７７６,3213233,2020-12-22 00:00:00,,094123,
C109310000043,C1(中学校),09(栃木),3(私),1(本),宇都宮短期大学附属中学校,栃木県宇都宮市睦町１－３５,3208585,2020-12-22 00:00:00,,094124,
C109310000052,C1(中学校),09(栃木),3(私),1(本),國學院大學栃木中学校,栃木県栃木市平井町６０８,3288588,2020-12-22 00:00:00,,094126,
C109310000061,C1(中学校),09(栃木),3(私),1(本),文星芸術大学附属中学校,栃木県宇都宮市睦町１－４,3200865,2020-12-22 00:00:00,,094128,
C109310000070,C1(中学校),09(栃木),3(私),1(本),幸福の科学学園中学校,栃木県那須郡那須町梁瀬４８７－１,3293434,2020-12-22 00:00:00,,094129,
C209210000017,C2(義務),09(栃木),2(公),1(本),小山市立絹義務教育学校,栃木県小山市大字福良２２４０番地の１,3230155,2020-12-22 00:00:00,,09C011,
C209210000026,C2(義務),09(栃木),2(公),1(本),那須塩原市立塩原小中学校,栃木県那須塩原市中塩原３６４番地,3292924,2020-12-22 00:00:00,,09C012,
C209210000035,C2(義務),09(栃木),2(公),1(本),佐野市立あそ野学園義務教育学校,栃木県佐野市戸室町１５６,3270306,2020-12-22 00:00:00,,09C013,
C209210000044,C2(義務),09(栃木),2(公),1(本),下野市立南河内小中学校,栃木県下野市薬師寺９８６番地,3290431,2022-05-01 00:00:00,,,
D109210000016,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮高等学校,栃木県宇都宮市滝の原３－５－７０,3200846,2020-12-22 00:00:00,,095511,
D109210000025,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮東高等学校,栃木県宇都宮市石井町３３６０－１,3210912,2020-12-22 00:00:00,,095512,
D109210000034,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮女子高等学校,栃木県宇都宮市操町５－１９,3200863,2020-12-22 00:00:00,,095513,
D109210000043,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮中央女子高等学校,栃木県宇都宮市若草２丁目２番４６号,3200072,2020-12-22 00:00:00,,095514,
D109210000052,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮白楊高等学校,栃木県宇都宮市元今泉８－２－１,3210954,2020-12-22 00:00:00,,095515,
D109210000061,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮工業高等学校,栃木県宇都宮市雀宮町５２番地,3210198,2020-12-22 00:00:00,,095517,
D109210000070,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮商業高等学校,栃木県宇都宮市大曽３丁目１番４６号,3200014,2020-12-22 00:00:00,,095518,
D109210000089,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮南高等学校,栃木県宇都宮市東谷町６６０－１,3210123,2020-12-22 00:00:00,,095519,
D109210000098,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮北高等学校,栃木県宇都宮市岩曽６０６番地,3210973,2020-12-22 00:00:00,,095520,
D109210000105,D1(高校),09(栃木),2(公),1(本),栃木県立鹿沼高等学校,栃木県鹿沼市万町９６０,3220043,2020-12-22 00:00:00,,095521,
D109210000114,D1(高校),09(栃木),2(公),1(本),栃木県立今市高等学校,栃木県日光市千本木４３２,3211277,2020-12-22 00:00:00,,095525,
D109210000123,D1(高校),09(栃木),2(公),1(本),栃木県立今市工業高等学校,栃木県日光市荊沢６１５,3212336,2020-12-22 00:00:00,,095526,
D109210000132,D1(高校),09(栃木),2(公),1(本),栃木県立鹿沼商工高等学校,栃木県鹿沼市花岡町１８０－１,3220049,2020-12-22 00:00:00,,095528,
D109210000141,D1(高校),09(栃木),2(公),1(本),栃木県立鹿沼東高等学校,栃木県鹿沼市千渡２０５０,3220002,2020-12-22 00:00:00,,095529,
D109210000150,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮清陵高等学校,栃木県宇都宮市竹下町９０８－３,3213236,2020-12-22 00:00:00,,095530,
D109210000169,D1(高校),09(栃木),2(公),1(本),栃木県立上三川高等学校,栃木県河内郡上三川町多功９９４－４,3290524,2020-12-22 00:00:00,,095533,
D109210000178,D1(高校),09(栃木),2(公),1(本),栃木県立小山西高等学校,栃木県小山市松沼７４１,3230007,2020-12-22 00:00:00,,095535,
D109210000187,D1(高校),09(栃木),2(公),1(本),栃木県立日光明峰高等学校,栃木県日光市久次良町１０４,3211436,2020-12-22 00:00:00,,095536,
D109210000196,D1(高校),09(栃木),2(公),1(本),栃木県立栃木翔南高等学校,栃木県栃木市大平町川連３７０,3294407,2020-12-22 00:00:00,,095537,
D109210000203,D1(高校),09(栃木),2(公),1(本),栃木県立鹿沼南高等学校,栃木県鹿沼市みなみ町８－７３,3220524,2020-12-22 00:00:00,,095538,
D109210000212,D1(高校),09(栃木),2(公),1(本),栃木県立石橋高等学校,栃木県下野市石橋８４５,3290511,2020-12-22 00:00:00,,095541,
D109210000221,D1(高校),09(栃木),2(公),1(本),栃木県立小山高等学校,栃木県小山市若木町２－８－５１,3230028,2020-12-22 00:00:00,,095542,
D109210000230,D1(高校),09(栃木),2(公),1(本),栃木県立小山城南高等学校,栃木県小山市西城南４－２６－１,3230820,2020-12-22 00:00:00,,095543,
D109210000249,D1(高校),09(栃木),2(公),1(本),栃木県立栃木高等学校,栃木県栃木市入舟町１２－４,3280016,2020-12-22 00:00:00,,095544,
D109210000258,D1(高校),09(栃木),2(公),1(本),栃木県立栃木女子高等学校,栃木県栃木市薗部町１－２－５,3280074,2020-12-22 00:00:00,,095545,
D109210000267,D1(高校),09(栃木),2(公),1(本),栃木県立栃木農業高等学校,栃木県栃木市平井町９１１,3280054,2020-12-22 00:00:00,,095546,
D109210000276,D1(高校),09(栃木),2(公),1(本),栃木県立栃木工業高等学校,栃木県栃木市岩出町１２９,3280063,2020-12-22 00:00:00,,095547,
D109210000285,D1(高校),09(栃木),2(公),1(本),栃木県立栃木商業高等学校,栃木県栃木市片柳町５－１－３０,3280053,2020-12-22 00:00:00,,095548,
D109210000294,D1(高校),09(栃木),2(公),1(本),栃木県立壬生高等学校,栃木県下都賀郡壬生町藤井１１９４,3210221,2020-12-22 00:00:00,,095549,
D109210000301,D1(高校),09(栃木),2(公),1(本),栃木県立小山北桜高等学校,栃木県小山市東山田４４８－２９,3230802,2020-12-22 00:00:00,,095550,
D109210000310,D1(高校),09(栃木),2(公),1(本),栃木県立佐野高等学校,栃木県佐野市天神町７６１－１,3270847,2020-12-22 00:00:00,,095551,
D109210000329,D1(高校),09(栃木),2(公),1(本),栃木県立学悠館高等学校,栃木県栃木市沼和田町２－２,3288558,2020-12-22 00:00:00,,095552,
D109210000338,D1(高校),09(栃木),2(公),1(本),栃木県立足利高等学校,栃木県足利市本城１－１６２９,3260808,2020-12-22 00:00:00,,095554,
D109210000356,D1(高校),09(栃木),2(公),1(本),栃木県立足利工業高等学校,栃木県足利市西宮町２９０８－１,3260817,2020-12-22 00:00:00,,095556,
D109210000365,D1(高校),09(栃木),2(公),1(本),栃木県立足利南高等学校,栃木県足利市下渋垂町９８０,3260334,2020-12-22 00:00:00,,095560,
D109210000374,D1(高校),09(栃木),2(公),1(本),栃木県立真岡高等学校,栃木県真岡市白布ヶ丘２４－１,3214331,2020-12-22 00:00:00,,095561,
D109210000383,D1(高校),09(栃木),2(公),1(本),栃木県立真岡女子高等学校,栃木県真岡市台町２８１５,3214306,2020-12-22 00:00:00,,095562,
D109210000392,D1(高校),09(栃木),2(公),1(本),栃木県立真岡北陵高等学校,栃木県真岡市下籠谷３９６,3214415,2020-12-22 00:00:00,,095563,
D109210000409,D1(高校),09(栃木),2(公),1(本),栃木県立真岡工業高等学校,栃木県真岡市寺久保１－２－９,3214368,2020-12-22 00:00:00,,095564,
D109210000418,D1(高校),09(栃木),2(公),1(本),栃木県立茂木高等学校,栃木県芳賀郡茂木町茂木２８８,3213595,2020-12-22 00:00:00,,095566,
D109210000427,D1(高校),09(栃木),2(公),1(本),栃木県立益子芳星高等学校,栃木県芳賀郡益子町塙２３８２－１,3214216,2020-12-22 00:00:00,,095568,
D109210000436,D1(高校),09(栃木),2(公),1(本),栃木県立足利清風高等学校,栃木県足利市山下町２１１０,3260846,2020-12-22 00:00:00,,095569,
D109210000445,D1(高校),09(栃木),2(公),1(本),栃木県立烏山高等学校,栃木県那須烏山市中央３－９－８,3210621,2020-12-22 00:00:00,,095571,
D109210000454,D1(高校),09(栃木),2(公),1(本),栃木県立馬頭高等学校,栃木県那須郡那珂川町馬頭１２９９－２,3240613,2020-12-22 00:00:00,,095573,
D109210000463,D1(高校),09(栃木),2(公),1(本),栃木県立大田原高等学校,栃木県大田原市紫塚３－２６５１,3240058,2020-12-22 00:00:00,,095574,
D109210000472,D1(高校),09(栃木),2(公),1(本),栃木県立大田原女子高等学校,栃木県大田原市元町１－５－４３,3240053,2020-12-22 00:00:00,,095575,
D109210000481,D1(高校),09(栃木),2(公),1(本),栃木県立黒羽高等学校,栃木県大田原市前田７８０,3240234,2020-12-22 00:00:00,,095576,
D109210000490,D1(高校),09(栃木),2(公),1(本),栃木県立那須拓陽高等学校,栃木県那須塩原市下永田４－３－５２,3292712,2020-12-22 00:00:00,,095577,
D109210000506,D1(高校),09(栃木),2(公),1(本),栃木県立那須清峰高等学校,栃木県那須塩原市下永田６－４,3292712,2020-12-22 00:00:00,,095578,
D109210000515,D1(高校),09(栃木),2(公),1(本),栃木県立大田原東高等学校,栃木県大田原市元町１－５－４３,3240053,2020-12-22 00:00:00,,095579,
D109210000524,D1(高校),09(栃木),2(公),1(本),栃木県立那須高等学校,栃木県那須郡那須町寺子乙３９３２－４８,3293215,2020-12-22 00:00:00,,095581,
D109210000533,D1(高校),09(栃木),2(公),1(本),栃木県立黒磯高等学校,栃木県那須塩原市豊町６－１,3250051,2020-12-22 00:00:00,,095582,
D109210000542,D1(高校),09(栃木),2(公),1(本),栃木県立黒磯南高等学校,栃木県那須塩原市上厚崎７４７－２,3250026,2020-12-22 00:00:00,,095583,
D109210000551,D1(高校),09(栃木),2(公),1(本),栃木県立小山南高等学校,栃木県小山市間々田２３－１,3290205,2020-12-22 00:00:00,,095586,
D109210000560,D1(高校),09(栃木),2(公),1(本),栃木県立佐野東高等学校,栃木県佐野市金屋下町１２,3270025,2020-12-22 00:00:00,,095589,
D109210000579,D1(高校),09(栃木),2(公),1(本),栃木県立佐野松桜高等学校,栃木県佐野市出流原町６４３－５,3270102,2020-12-22 00:00:00,,095590,
D109210000588,D1(高校),09(栃木),2(公),1(本),栃木県立矢板高等学校,栃木県矢板市片俣６１８－２,3292155,2020-12-22 00:00:00,,095591,
D109210000597,D1(高校),09(栃木),2(公),1(本),栃木県立高根沢高等学校,栃木県塩谷郡高根沢町文挟３２－２,3291204,2020-12-22 00:00:00,,095593,
D109210000604,D1(高校),09(栃木),2(公),1(本),栃木県立矢板東高等学校,栃木県矢板市東町４－８,3292136,2020-12-22 00:00:00,,095597,
D109210000613,D1(高校),09(栃木),2(公),1(本),栃木県立さくら清修高等学校,栃木県さくら市氏家２８０７,3291311,2020-12-22 00:00:00,,095598,
D109210000622,D1(高校),09(栃木),2(公),1(本),栃木県立宇都宮中央高等学校,栃木県宇都宮市若草町２－２－４６,3200072,2022-05-01 00:00:00,,,
D109310000014,D1(高校),09(栃木),3(私),1(本),作新学院高等学校,栃木県宇都宮市一の沢１－１－４１,3208525,2020-12-22 00:00:00,,095611,
D109310000023,D1(高校),09(栃木),3(私),1(本),文星芸術大学附属高等学校,栃木県宇都宮市睦町１－４,3200865,2020-12-22 00:00:00,,095612,
D109310000032,D1(高校),09(栃木),3(私),1(本),宇都宮文星女子高等学校,栃木県宇都宮市北一の沢２４－３５,3200048,2020-12-22 00:00:00,,095613,
D109310000041,D1(高校),09(栃木),3(私),1(本),宇都宮短期大学附属高等学校,栃木県宇都宮市睦町１－３５,3208585,2020-12-22 00:00:00,,095614,
D109310000050,D1(高校),09(栃木),3(私),1(本),足利短期大学附属高等学校,栃木県足利市本城３－２１２０,3260808,2020-12-22 00:00:00,,095615,
D109310000069,D1(高校),09(栃木),3(私),1(本),佐野清澄高等学校,栃木県佐野市堀米町８４０,3270843,2020-12-22 00:00:00,,095616,
D109310000078,D1(高校),09(栃木),3(私),1(本),青藍泰斗高等学校,栃木県佐野市葛生東２－８－３,3270501,2020-12-22 00:00:00,,095617,
D109310000087,D1(高校),09(栃木),3(私),1(本),白鴎大学足利高等学校,栃木県足利市伊勢南町３－２,3260054,2020-12-22 00:00:00,,095618,
D109310000096,D1(高校),09(栃木),3(私),1(本),宇都宮海星女子学院高等学校,栃木県宇都宮市上籠谷町３７７６番地,3213233,2020-12-22 00:00:00,,095619,
D109310000103,D1(高校),09(栃木),3(私),1(本),國學院大學栃木高等学校,栃木県栃木市平井町６０８,3288588,2020-12-22 00:00:00,,095620,
D109310000112,D1(高校),09(栃木),3(私),1(本),矢板中央高等学校,栃木県矢板市扇町２－１５１９,3292161,2020-12-22 00:00:00,,095621,
D109310000121,D1(高校),09(栃木),3(私),1(本),佐野日本大学高等学校,栃木県佐野市石塚町２５５５,3270192,2020-12-22 00:00:00,,095622,
D109310000130,D1(高校),09(栃木),3(私),1(本),足利大学附属高等学校,栃木県足利市福富町２１４２,3260331,2020-12-22 00:00:00,,095623,
D109310000149,D1(高校),09(栃木),3(私),1(本),幸福の科学学園高等学校,栃木県那須郡那須町梁瀬４８７－１,3293434,2020-12-22 00:00:00,,095625,
D109310000158,D1(高校),09(栃木),3(私),1(本),日々輝学園高等学校,栃木県塩谷郡塩谷町２４７５－１,3292332,2020-12-22 00:00:00,,095711,
D209310000013,D2(中等),09(栃木),3(私),1(本),佐野日本大学中等教育学校,栃木県佐野市石塚町２５５５,3270192,2020-12-22 00:00:00,,099791,
E109110000015,E1(養護),09(栃木),1(国),1(本),宇都宮大学共同教育学部附属特別支援学校,栃木県宇都宮市宝木町１－２５９２,3200061,2020-12-22 00:00:00,,099901,
E109210000013,E1(特支盲),09(栃木),2(公),1(本),栃木県立盲学校,栃木県宇都宮市福岡町１２９７,3210342,2020-12-22 00:00:00,,099711,
E109210000022,E1(特支聾),09(栃木),2(公),1(本),栃木県立聾学校,栃木県宇都宮市若草２－３－４８,3200072,2020-12-22 00:00:00,,099811,
E109210000031,E1(養護),09(栃木),2(公),1(本),栃木県立のざわ特別支援学校,栃木県宇都宮市岩曽町１１７７－２,3210973,2020-12-22 00:00:00,,099911,
E109210000040,E1(養護),09(栃木),2(公),1(本),栃木県立わかくさ特別支援学校,栃木県宇都宮市駒生町３３３７－１,3208503,2020-12-22 00:00:00,,099912,
E109210000059,E1(養護),09(栃木),2(公),1(本),栃木県立足利特別支援学校,栃木県足利市大沼田町６１９－１,3260011,2020-12-22 00:00:00,,099913,
E109210000068,E1(養護),09(栃木),2(公),1(本),栃木県立栃木特別支援学校,栃木県栃木市皆川城内町１０５３,3280067,2020-12-22 00:00:00,,099914,
E109210000077,E1(養護),09(栃木),2(公),1(本),栃木県立那須特別支援学校,栃木県那須塩原市下永田８－７,3292712,2020-12-22 00:00:00,,099915,
E109210000086,E1(養護),09(栃木),2(公),1(本),栃木県立富屋特別支援学校,栃木県宇都宮市徳次郎町３９－１,3212116,2020-12-22 00:00:00,,099916,
E109210000095,E1(養護),09(栃木),2(公),1(本),栃木県立岡本特別支援学校,栃木県宇都宮市下岡本町２１６０,3291104,2020-12-22 00:00:00,,099918,
E109210000102,E1(養護),09(栃木),2(公),1(本),栃木県立益子特別支援学校,栃木県芳賀郡益子町七井３６５０,3214106,2020-12-22 00:00:00,,099919,
E109210000111,E1(養護),09(栃木),2(公),1(本),栃木県立南那須特別支援学校,栃木県那須烏山市藤田１１８１－１５２,3210532,2020-12-22 00:00:00,,099920,
E109210000120,E1(養護),09(栃木),2(公),1(本),栃木県立今市特別支援学校,栃木県日光市瀬尾１６４０－２２,3211264,2020-12-22 00:00:00,,099921,
E109210000139,E1(養護),09(栃木),2(公),1(本),栃木県立国分寺特別支援学校,栃木県下野市柴６－２,3290412,2020-12-22 00:00:00,,099922,
E109210000148,E1(養護),09(栃木),2(公),1(本),栃木県立足利中央特別支援学校,栃木県足利市大月町８７１－３,3260005,2020-12-22 00:00:00,,099923,
E109210000157,E1(特支盲),09(栃木),2(公),2(分),栃木県立富屋特別支援学校鹿沼分校,栃木県鹿沼市日吉町５２１－６,3220074,2020-12-22 00:00:00,,099924,
E109210000166,E1(養護),09(栃木),2(公),1(本),栃木県立特別支援学校宇都宮青葉高等学園,栃木県宇都宮市京町９番３２号,3208506,2020-12-22 00:00:00,,099925,
H109210000017,H1(専修),09(栃木),2(公),1(本),栃木県立衛生福祉大学校,栃木県宇都宮市陽南４－２－１,3200834,2020-12-22 00:00:00,,098625,
H109210000026,H1(専修),09(栃木),2(公),1(本),栃木県農業大学校,栃木県宇都宮市上籠谷町１１４５－１,3213233,2020-12-22 00:00:00,,098626,
H109210000035,H1(専修),09(栃木),2(公),1(本),栃木県県南高等看護専門学院,栃木県栃木市大塚町１２５８－４,3280007,2020-12-22 00:00:00,,098663,
H109310000015,H1(専修),09(栃木),3(私),1(本),宇都宮アートアンドスポーツ専門学校,栃木県宇都宮市大寛１－２１６５,3200867,2020-12-22 00:00:00,,098605,
H109310000024,H1(専修),09(栃木),3(私),1(本),国際看護介護保育専門学校,栃木県宇都宮市大通り１－２－５,3200811,2020-12-22 00:00:00,,098606,
H109310000033,H1(専修),09(栃木),3(私),1(本),インターナショナルビジネスランゲージ専門学校,栃木県宇都宮市元今泉６－３－１０,3210954,2020-12-22 00:00:00,,098613,
H109310000042,H1(専修),09(栃木),3(私),1(本),足利デザイン・ビューティ専門学校,栃木県足利市田中町９１４,3260822,2020-12-22 00:00:00,,098621,
H109310000060,H1(専修),09(栃木),3(私),1(本),石山和装専門学校,栃木県宇都宮市今泉１－４－３４,3210966,2020-12-22 00:00:00,,098651,
H109310000079,H1(専修),09(栃木),3(私),1(本),和氣和裁専門学校,栃木県宇都宮市一番町２－１８,3200812,2020-12-22 00:00:00,,098653,
H109310000088,H1(専修),09(栃木),3(私),1(本),明美和装専門学校,栃木県宇都宮市細谷町３７１番地１２号,3200074,2020-12-22 00:00:00,,098659,
H109310000097,H1(専修),09(栃木),3(私),1(本),専門学校Ｔｏｃｈｉｇｉ　Ｇｌｏｂａｌ　Ｆａｓｈｉｏｎ　Ｂｕｓｉｎｅｓｓ　Ｃｏｌｌｅｇｅ,栃木県栃木市片柳町１－３０－２０,3280053,2020-12-22 00:00:00,,098683,
H109310000104,H1(専修),09(栃木),3(私),1(本),済生会宇都宮病院看護専門学校,栃木県宇都宮市竹林町９４５－１,3210974,2020-12-22 00:00:00,,098704,
H109310000113,H1(専修),09(栃木),3(私),1(本),獨協医科大学附属看護専門学校,栃木県下都賀郡壬生町北小林８８０,3210293,2020-12-22 00:00:00,,098707,
H109310000122,H1(専修),09(栃木),3(私),1(本),宇都宮歯科衛生士専門学校,栃木県宇都宮市竹林町９６８番地,3210974,2020-12-22 00:00:00,,098708,
H109310000131,H1(専修),09(栃木),3(私),1(本),宇都宮市医療保健事業団附属宇都宮准看護高等専修学校,栃木県宇都宮市竹林町９６８,3210974,2020-12-22 00:00:00,,098709,
H109310000140,H1(専修),09(栃木),3(私),1(本),栃木介護福祉士専門学校,栃木県宇都宮市宝木町２－９８８－５,3200061,2020-12-22 00:00:00,,098711,
H109310000159,H1(専修),09(栃木),3(私),1(本),中央福祉医療専門学校,栃木県小山市大字土塔字東谷２３４－２,3230812,2020-12-22 00:00:00,,098712,
H109310000168,H1(専修),09(栃木),3(私),1(本),国際医療福祉大学塩谷看護専門学校,栃木県矢板市富田７７－６,3292145,2020-12-22 00:00:00,,098714,
H109310000177,H1(専修),09(栃木),3(私),1(本),マロニエ医療福祉専門学校,栃木県栃木市今泉町２－６－２２,3280027,2020-12-22 00:00:00,,098715,
H109310000186,H1(専修),09(栃木),3(私),1(本),さくら総合専門学校,栃木県さくら市馬場４１０,3291321,2020-12-22 00:00:00,,098716,
H109310000195,H1(専修),09(栃木),3(私),1(本),足利製菓専門学校,栃木県足利市田中町９１４,3260822,2020-12-22 00:00:00,,098717,
H109310000202,H1(専修),09(栃木),3(私),1(本),（独）国立病院機構栃木医療センター附属看護学校,栃木県宇都宮市中戸祭１－１０－３７,3208580,2020-12-22 00:00:00,,098718,
H109310000211,H1(専修),09(栃木),3(私),1(本),報徳看護専門学校,栃木県宇都宮市上横田町１３０２－１２,3210106,2020-12-22 00:00:00,,098719,
H109310000220,H1(専修),09(栃木),3(私),1(本),専門学校足利コミュニティーカレッジ,栃木県足利市家富町６－３,3260803,2020-12-22 00:00:00,,098741,
H109310000239,H1(専修),09(栃木),3(私),1(本),ヤマトファッションビジネス専門学校,栃木県栃木市柳橋町７－７,3280051,2020-12-22 00:00:00,,098742,
H109310000248,H1(専修),09(栃木),3(私),1(本),アイ・エフ・シー大学校,栃木県宇都宮市平出町３５８０－３,3210901,2020-12-22 00:00:00,,098782,
H109310000257,H1(専修),09(栃木),3(私),1(本),国際ＴＢＣ調理・パティシエ専門学校,栃木県小山市三峯１－１０－２１,3230821,2020-12-22 00:00:00,,098783,
H109310000266,H1(専修),09(栃木),3(私),1(本),アイ・エフ・シー栄養専門学校,栃木県宇都宮市平出町３５８０－５,3210901,2020-12-22 00:00:00,,098784,
H109310000284,H1(専修),09(栃木),3(私),1(本),宇都宮美容専門学校,栃木県宇都宮市春日町１６－４,3210108,2020-12-22 00:00:00,,098791,
H109310000293,H1(専修),09(栃木),3(私),1(本),栃木県美容専門学校,栃木県宇都宮市宿郷２－１０－１１,3210945,2020-12-22 00:00:00,,098792,
H109310000300,H1(専修),09(栃木),3(私),1(本),国際ファッションビューティ専門学校,栃木県宇都宮市二荒町６－６,3200804,2020-12-22 00:00:00,,098793,
H109310000319,H1(専修),09(栃木),3(私),1(本),センスビューティーカレッジ,栃木県小山市東城南３－１３－１１,3230829,2020-12-22 00:00:00,,098794,
H109310000328,H1(専修),09(栃木),3(私),1(本),国際テクニカル美容専門学校,栃木県小山市城東１－６－３３,3230807,2020-12-22 00:00:00,,098795,
H109310000337,H1(専修),09(栃木),3(私),1(本),アジア農村指導者養成専門学校,栃木県那須塩原市槻沢４４２－１,3292703,2020-12-22 00:00:00,,098801,
H109310000346,H1(専修),09(栃木),3(私),1(本),宇都宮メディア・アーツ専門学校,栃木県宇都宮市中央１－１０－１２,3200806,2020-12-22 00:00:00,,098821,
H109310000355,H1(専修),09(栃木),3(私),1(本),国際テクニカルデザイン・自動車専門学校,栃木県小山市三峯１－１０－２１,3230821,2020-12-22 00:00:00,,098822,
H109310000364,H1(専修),09(栃木),3(私),1(本),小山歯科衛生士専門学校,栃木県小山市城東１－３－３,3230807,2020-12-22 00:00:00,,098823,
H109310000373,H1(専修),09(栃木),3(私),1(本),専門学校日産栃木自動車大学校,栃木県河内郡上三川町大字上郷字南西原２１２０,3290604,2020-12-22 00:00:00,,098831,
H109310000382,H1(専修),09(栃木),3(私),1(本),宇都宮ビジネス電子専門学校,栃木県宇都宮市大寛１－１５４４,3200867,2020-12-22 00:00:00,,098841,
H109310000391,H1(専修),09(栃木),3(私),1(本),国際情報ビジネス専門学校,栃木県宇都宮市大通り１－２－５,3200811,2020-12-22 00:00:00,,098843,
H109310000408,H1(専修),09(栃木),3(私),1(本),国際自動車・ビューティ専門学校,栃木県大田原市紫塚２－２６０９－２,3240058,2020-12-22 00:00:00,,098845,
H109310000417,H1(専修),09(栃木),3(私),1(本),オリオンＩＴ専門学校,栃木県宇都宮市鶴田町２７６５－４,3200851,2020-12-22 00:00:00,,098847,
H109310000426,H1(専修),09(栃木),3(私),1(本),宇都宮日建工科専門学校,栃木県宇都宮市簗瀬４－３－１３,3210934,2020-12-22 00:00:00,,098852,
H109310000435,H1(専修),09(栃木),3(私),1(本),専修学校宇都宮書道学校,栃木県宇都宮市西川田南１－８－１２,3210155,2020-12-22 00:00:00,,098853,
H109310000444,H1(専修),09(栃木),3(私),1(本),国際ペット総合専門学校,栃木県宇都宮市二荒町６－６,3200804,2020-12-22 00:00:00,,098854,
H109310000453,H1(専修),09(栃木),3(私),1(本),大原簿記情報ビジネス医療専門学校宇都宮校,栃木県宇都宮市東宿郷２－５－４,3210953,2020-12-22 00:00:00,,098855,
H109310000462,H1(専修),09(栃木),3(私),1(本),大原スポーツ公務員専門学校宇都宮校,栃木県宇都宮市東宿郷２－５－４,3210953,2020-12-22 00:00:00,,098856,
H109310000471,H1(専修),09(栃木),3(私),1(本),国際テクニカル理容美容専門学校,栃木県宇都宮市大通り４－１－１９,3200811,2020-12-22 00:00:00,,098857,
